malukhiyah,mouloukhia,,,,,,,,,,,,,body fluid,bodily fluid
meal supplement,food supplement or dietary integrator ,,,,,,,,,,,,,boletus edulis mushroom,boletus mushroom
microgreen,vegetable,,,,,,,,,,,,,bone in,bone-in
mloukhiya,mouloukhia,,,,,,,,,,,,,bone put,boneless
moelle osseuse de porc,pork marrow,,,,,,,,,,,,,bone out,boneless
molido,chili powder,,,,,,,,,,,,,aurochs ,bos primigenius
molokhia,mouloukhia,,,,,,,,,,,,,urus,bos primigenius
molokhiya,mouloukhia,,,,,,,,,,,,,ure,bos primigenius
moroheiya ,mouloukhia,,,,,,,,,,,,,brewer,brewers
mulukhiyah,mouloukhia,,,,,,,,,,,,,brightly lit,brightly-lit
mulukhiyya,mouloukhia,,,,,,,,,,,,,bell bean,broadbean
Naja haje,snake,,,,,,,,,,,,,broad bean,broadbean
nestling,bird,,,,,,,,,,,,,faba bean,broadbean
nigella sativa seed,black cumin,,,,,,,,,,,,,fava bean,broadbean
nigella seed,black cumin,,,,,,,,,,,,,field bean,broadbean
nimco,snack,,,,,,,,,,,,,tic bean,broadbean
nutmeg flower,black cumin,,,,,,,,,,,,,vicia faba,broadbean
,,,,,,,,,,,,,,bumble berry,bumbleberry
pistacia vera l ,pistachio,,,,,,,,,,,,,dog,Canis lupus familiaris 
pondwater,pond water,,,,,,,,,,,,,manihot esculenta,cassava 
popano,pompano,,,,,,,,,,,,,mandioka,cassava 
puntius chola,swamp barb,,,,,,,,,,,,,manioc,cassava 
puntius chola,chola barb,,,,,,,,,,,,,yuca,cassava 
qian jing shui cai,mizuna,,,,,,,,,,,,,mandioca,cassava 
racoon,raccoon,,,,,,,,,,,,,brazilian arrowroot,cassava 
river bard,riverbard,,,,,,,,,,,,,cat fish,catfish
roman coriander,black cumin,,,,,,,,,,,,,cayenne chili,cayenne pepper
rooster,chicken,,,,,,,,,,,,,bitter melon tea,cerassee tea
sambar masala,spice powder,,,,,,,,,,,,,bittermelon tea,cerassee tea
sand goanna,varanus gouldii,,,,,,,,,,,,,cerase tea,cerassee tea
shari puti fish,shariputi fish,,,,,,,,,,,,,Cerassie tea,cerassee tea
skink,lizard,,,,,,,,,,,,,cerrasse tea,cerassee tea
slaughter,slaughterhouse,,,,,,,,,,,,,fines,Cereal food fines
slaughter house,slaughterhouse,,,,,,,,,,,,,cerebral spinal fluid,cerebralspinal fluid
soymeat,soya meat,,,,,,,,,,,,,manzanilla tea,chamomile tea 
spider mustard,mizuna,,,,,,,,,,,,,cheddar,cheddar cheese
striped bass,rockfish,,,,,,,,,,,,,cheese mix (substitute),cheese mix (substitute or imitation)
Sus domesticus,sus scrofa domesticus,,,,,,,,,,,,,cheese mix (imitation),cheese mix (substitute or imitation)
yellow fin,yellowfin tuna,,,,,,,,,,,,,cheese mix substitute,cheese mix (substitute or imitation)
tako yaki,takoyaki,,,,,,,,,,,,,cheese mix imitation,cheese mix (substitute or imitation)
tenticle,tentacle,,,,,,,,,,,,,chick,chicken
tic bean,broadbean,,,,,,,,,,,,,cock,chicken
tofu,bean curd,,,,,,,,,,,,,cockbird,chicken
vicia faba,broadbean,,,,,,,,,,,,,rooster,chicken
water pond,pond,,,,,,,,,,,,,gallus gallus,chicken
wild turkey,meleagris gallopavo,,,,,,,,,,,,,chicken (ground),chicken (ground or minced)
wildcaught,wild caught,,,,,,,,,,,,,chicken (minced),chicken (ground or minced)
yellowfin,yellowfin tuna,,,,,,,,,,,,,chicken ground,chicken (ground or minced)
yogourt,yogurt,,,,,,,,,,,,,chicken minced,chicken (ground or minced)
zaocus dhumnades,zaocys dhumnades,,,,,,,,,,,,,chicken cordon bleu,chicken cordon blue
largemouth,large mouth,,,,,,,,,,,,,drumstick,chicken drumstick
racoon,raccoon,,,,,,,,,,,,,chicken tender,chicken finger
zattar,za'atar,,,,,,,,,,,,,chickenkiev,chicken kiev
nantucket blend trail mix,raisin and nut mix ,,,,,,,,,,,,,chickenkiev,chicken kiev
franklin gull,leucophaeus pipixcan,,,,,,,,,,,,,relleno,chile relleno
nonmeat ,non meat ,,,,,,,,,,,,,chile arbol,chili pepper
mahi,mahi mahi ,,,,,,,,,,,,,molido,chili powder
helianthus camade ,helianthus ,,,,,,,,,,,,,puntius chola,chola barb
stripe bass,striped bass,,,,,,,,,,,,,chow mein,chow mein noodle
thread fish,threadfin,,,,,,,,,,,,,chowmein,chow mein noodle
threadfish,threadfin,,,,,,,,,,,,,cloacalswab,cloacal swab
bloodmeal,blood meal,,,,,,,,,,,,,cloacalswab,cloacal swab
stripped bass,striped bass,,,,,,,,,,,,,coal black,coal black
cloacalswab,cloacal swab,,,,,,,,,,,,,cobalt blue,cobalt blue
cirrhinus cirrhosus,mrigal,,,,,,,,,,,,,cobalt ultramarine,cobalt ultramarine
mrigal carp,mrigal,,,,,,,,,,,,,coconut water,coconut juice
white carp,mrigal,,,,,,,,,,,,,cold brew,cold brewed
ancho,ancho pepper,,,,,,,,,,,,,cold brewing,cold brewed
red bell,red bell pepper,,,,,,,,,,,,,cole slaw,coleslaw
pasilla chile,dried chilaca pepper,,,,,,,,,,,,,Rice Porridge,congee
chile negro ,dried chilaca pepper,,,,,,,,,,,,,conjee,congee
chile pasilla ,dried chilaca pepper,,,,,,,,,,,,,cookies,cookie
cordon blue,cordon bleu,,,,,,,,,,,,,cordon blue,cordon bleu
cynara scolymus,artichoke,,,,,,,,,,,,,cilantro,coriander
dhani koral,dhanikoral fish,,,,,,,,,,,,,cornflakes,corn flakes
colossoma,tambaqui,,,,,,,,,,,,,cornmeal,corn meal
colossoma macropomum,tambaqui,,,,,,,,,,,,,cotton seed,cottonseed
bluefin saku tuna ,bluefin tuna ,,,,,,,,,,,,,crabapple,crab apple
bluefin saku ,bluefin tuna ,,,,,,,,,,,,,craw fish,crawfish
bluefin tuna saku,bluefin tuna ,,,,,,,,,,,,,crawfish,crawfish or crayfish
boletus edulis mushroom,boletus mushroom,,,,,,,,,,,,,crayfish,crawfish or crayfish
brewer,brewers,,,,,,,,,,,,, cray fish,crayfish
clarias batrachus,walking catfish,,,,,,,,,,,,,crustacean (whole),crustacean (whole or flesh part)
dysphania ambrosioides,epazote,,,,,,,,,,,,,crustacean (flesh part),crustacean (whole or flesh part)
chenopodium ambrosioides,epazote,,,,,,,,,,,,,crustacean whole,crustacean (whole or flesh part)
wormseed,epazote,,,,,,,,,,,,,crustacean flesh part,crustacean (whole or flesh part)
Jesuit's tea,epazote,,,,,,,,,,,,,common mushroom,cultivated mushroom
Mexican tea,epazote,,,,,,,,,,,,,button mushroom,cultivated mushroom
payqu,epazote,,,,,,,,,,,,,white mushroom,cultivated mushroom
herba sancti Mariæ,epazote,,,,,,,,,,,,,table mushroom,cultivated mushroom
afang,ukanzi,,,,,,,,,,,,,champignon mushroom,cultivated mushroom
cayenne chili,cayenne pepper,,,,,,,,,,,,,cured,curing or aging process
felis,Felis catus,,,,,,,,,,,,,curing,curing or aging process
feeder mice,feeder mouse,,,,,,,,,,,,,cut hair tail fish,cutlassfish
fancy mouse,feeder mouse,,,,,,,,,,,,,cutlass fish,cutlassfish
kitten,juvenile cat,,,,,,,,,,,,,cuttle fish,cuttlefish
galacto oligosaccharides,galactooligosaccharides,,,,,,,,,,,,,dapple gray,dapple-gray
geochelone elegans,indian star tortoise,,,,,,,,,,,,,dark blue,dark blue
hasa hasa,short mackerel,,,,,,,,,,,,,dark red,dark red
hilsa padmar,tnualosa ilisha,,,,,,,,,,,,,"date (chopped, sliced)","date (chopped, sliced or macerated)"
colombian slider,trachemys callirostris,,,,,,,,,,,,,date (macerated),"date (chopped, sliced or macerated)"
hicotea turtle,trachemys callirostris,,,,,,,,,,,,,"date chopped, sliced","date (chopped, sliced or macerated)"
cotton seed,cottonseed,,,,,,,,,,,,,date macerated,"date (chopped, sliced or macerated)"
king fish,kingfish,,,,,,,,,,,,,deep brown,deep brown
mashoq habbe sauda,klaunji powder,,,,,,,,,,,,,deep red,deep red
Pistacia vera L.,pistachio,,,,,,,,,,,,,cheetal,deer
larval,larval stage,,,,,,,,,,,,,chital,deer
nakaoachi,nakaochi,,,,,,,,,,,,,densely populated,densely-populated
semi soft,semisoft,,,,,,,,,,,,,devil fish ,devilfish 
soy bean,soybean,,,,,,,,,,,,,dani koral,dhanikoral fish
soy,soybean,,,,,,,,,,,,,dhani koral,dhanikoral fish
soya protein,soy protein,,,,,,,,,,,,,dietary supplement ,dietary food supplement 
pandan,pandanus amaryllifolius,,,,,,,,,,,,,dithered color,dithered color
pandan screw palm,pandanus amaryllifolius,,,,,,,,,,,,,doby fish,dobyfish
prima toast,toasted bread,,,,,,,,,,,,,treat nibblet,dog treat
owl,Strigiformes,,,,,,,,,,,,,domestic,domesticus
palo azul,eysenhardtia polystachya,,,,,,,,,,,,,domestic,domesticus
whisker sheat,whisker sheatfish,,,,,,,,,,,,,domestica,domesticus
whisker fish,whisker sheatfish,,,,,,,,,,,,,dry,dried
nemipterus virgatus,golden threadfin bream,,,,,,,,,,,,,pasilla chile,dried chilaca pepper
sting ray,stingray,,,,,,,,,,,,,chile negro ,dried chilaca pepper
swai fish,swaifish,,,,,,,,,,,,,chile pasilla ,dried chilaca pepper
swai,swaifish,,,,,,,,,,,,,dug fish,dugfish
stuff chicken breast,stuffed chicken breast,,,,,,,,,,,,,easy going,easy-going
spinny goby,spiny goby,,,,,,,,,,,,,environmental (swab),environmental (swab or sampling)
wattles,acacia genus,,,,,,,,,,,,,environmental (sampling),environmental (swab or sampling)
acacias,acacia genus,,,,,,,,,,,,,environmental swab,environmental (swab or sampling)
acacia,acacia genus,,,,,,,,,,,,,environmental sampling,environmental (swab or sampling)
dahon ng saging,banana leaf,,,,,,,,,,,,,dysphania ambrosioides,epazote
laurel leaves,bay leaf,,,,,,,,,,,,,chenopodium ambrosioides,epazote
procyon lotor,raccoon,,,,,,,,,,,,,wormseed,epazote
monocled cobra,naja kaouthia,,,,,,,,,,,,,Jesuit's tea,epazote
Indian cobra,naja naja,,,,,,,,,,,,,Mexican tea,epazote
pectacled cobra,naja naja,,,,,,,,,,,,,payqu,epazote
Asian cobra,naja naja,,,,,,,,,,,,,herba sancti Mariæ,epazote
binocellate cobra,naja naja,,,,,,,,,,,,,even tempered,even-tempered
Egyptian cobra,naja haje,,,,,,,,,,,,,palo azul,eysenhardtia polystachya
mrigel,mrigal,,,,,,,,,,,,,far reaching,far-reaching
mamey,mamey sapote,,,,,,,,,,,,,fat free,fat-free
mandarin,mandarinfish,,,,,,,,,,,,,feather back,featherback
manihot esculenta,cassava ,,,,,,,,,,,,,excreta,feces
mandioka,cassava ,,,,,,,,,,,,,excretum,feces
manioc,cassava ,,,,,,,,,,,,,excretum,feces
yuca,cassava ,,,,,,,,,,,,,faeces,feces
mandioca,cassava ,,,,,,,,,,,,,fecal,feces
brazilian arrowroot,cassava ,,,,,,,,,,,,,stool,feces
wushe,zaocys dhumnades,,,,,,,,,,,,,excretion,feces
cantor,zaocys dhumnades,,,,,,,,,,,,,stool,feces
wu shao she,zaocys dhumnades,,,,,,,,,,,,,feeder mice,feeder mouse
manzanilla tea,chamomile tea ,,,,,,,,,,,,,fancy mouse,feeder mouse
tuna medallions,tuna medallion,,,,,,,,,,,,,felis,Felis catus
feed mill,wheat millrun,,,,,,,,,,,,,cat,Felis catus
